Age,Tenure_Months,Total_Purchases,Avg_Purchase_Amount,Total_Spent,Support_Tickets,Complaints,Feedback_Score,Last_Purchase_Days_Ago,Renewal_Count,Gender_enc,Plan_Type_enc,Payment_Method_enc,Location_enc,CLV,Activity_Freq,Complaint_Ratio,Inactive_Flag,Churn
56,69,61,14064.03,957276.74,0,3,1.6,27,4,1,1,3,4,13675.38,0.8714,0.0484,0,0
46,39,35,39915.98,1290254.05,5,6,3.28,137,2,1,3,2,4,32256.35,0.875,0.1667,1,1
32,13,48,9081.37,482214.77,13,8,4.69,82,3,1,4,0,4,34443.91,3.4286,0.1633,0,1
60,41,15,45296.5,800333.02,3,9,1.71,36,6,1,3,1,1,19055.55,0.3571,0.5625,0,0
25,57,71,47653.54,4027715.99,2,1,2.47,174,7,1,0,0,1,69443.38,1.2241,0.0139,1,0
38,53,15,18595.88,322911.2,14,8,1.49,118,4,0,1,3,4,5979.84,0.2778,0.5,1,1
56,12,6,19121,101149.02,10,5,3.57,157,0,0,1,3,3,7780.69,0.4615,0.7143,1,1
36,13,81,37292.27,2651668.83,12,1,3.68,79,4,1,3,2,4,189404.92,5.7857,0.0122,0,1
40,57,68,23086.29,1648850.86,0,7,3.66,41,6,1,2,2,1,28428.46,1.1724,0.1014,0,0
28,40,22,1916.2,42899.31,13,3,3.17,28,4,1,3,1,1,1046.32,0.5366,0.1304,0,0
28,45,32,46033.9,1184085.9,5,7,3.99,152,5,1,2,0,0,25741,0.6957,0.2121,1,1
41,35,22,21822.14,459295,12,6,1.14,101,2,0,3,1,0,12758.19,0.6111,0.2609,1,1
53,3,27,10573.01,331910.63,6,6,4.83,144,5,1,1,3,3,82977.66,6.75,0.2143,1,1
57,5,15,28005.37,487017.73,10,6,1.89,22,7,1,2,2,0,81169.62,2.5,0.375,0,1
41,11,44,11335.86,439703.77,0,1,1.49,47,1,0,0,1,2,36641.98,3.6667,0.0222,0,0
20,71,86,10698.09,876596.38,10,7,4.76,17,5,0,2,0,2,12174.95,1.1944,0.0805,0,0
39,56,92,27513.7,2592381.3,0,1,4.32,129,6,1,4,3,5,45480.37,1.614,0.0108,1,0
19,10,9,19856.59,203927.68,6,2,4.06,159,7,0,0,0,0,18538.88,0.8182,0.2,1,0
41,34,34,28863.17,993906.75,10,9,1.42,89,5,0,3,2,2,28397.34,0.9714,0.2571,0,1
61,67,73,49842.86,4319952.1,11,6,4.23,12,0,0,4,2,5,63528.71,1.0735,0.0811,0,1
47,31,15,43021.4,722514.83,5,6,3.44,20,4,1,0,2,1,22578.59,0.4688,0.375,0,0
55,71,62,879.7,64426.64,6,6,3.93,147,7,0,3,2,4,894.81,0.8611,0.0952,1,0
19,66,45,3002.51,147623.87,14,3,4.91,5,1,1,2,2,4,2203.34,0.6716,0.0652,0,0
38,70,84,30698.93,2968223.62,12,4,1.78,15,6,0,3,3,2,41805.97,1.1831,0.0471,0,0
50,41,72,31499.68,2568260.23,7,6,3.02,25,3,1,1,0,1,61149.05,1.7143,0.0822,0,0
